"coupon_id","copon_code","exp_date","users","max_users","disount_rate"
"2","End2End","2023-05-31 22:38:40","7","7","0.95"
"17","@AAST_31_05","2023-06-02 01:07:33","0","10000","0.92"
"20","10k_ai_initiative","2023-08-27 16:04:54","42","1000000","0.92"
"21","Golden_Coupon","2023-08-31 22:54:07","1","1","0.95"
"22","@TRIO_2023","2023-10-06 12:57:52","0","1000","0.95"
"23","hh","2023-08-06 13:01:06","0","1","0.9"
"99","R5MJV6KIGN","2023-08-08 17:32:06","0","1","0.9"
"100","CNUHJM256M","2023-08-08 17:32:06","0","1","0.94"
"101","SI8YSHGLQJ","2023-08-08 17:32:06","0","1","0.96"
"102","T66V5J1LTO","2023-08-08 17:32:06","0","1","0.95"
"103","E074WZS1YT","2023-08-08 17:32:06","0","1","0.98"
"104","HHJFZJQAJH","2023-08-08 17:32:06","0","1","0.97"
"105","6I03TVUM78","2023-08-08 17:32:06","0","1","0.97"
"106","F7B1DGNY2E","2023-08-08 17:32:06","0","1","0.98"
"107","BQXRLGZLII","2023-08-08 17:32:06","0","1","0.97"
"108","QC5ABO2EB6","2023-08-08 17:32:06","0","1","0.97"
"109","ZCDKDTD1G6","2023-08-08 17:32:06","0","1","0.96"
"110","J85HLKCP4K","2023-08-08 17:32:06","0","1","0.99"
"111","RQUK9HCDR6","2023-08-08 17:32:06","0","1","0.94"
"112","DV93AXYG4Z","2023-08-08 17:32:06","0","1","0.99"
"113","DV93AXYG4Z","2023-08-08 17:32:06","0","1","0.99"
"114","CU4XPEHLA2","2023-08-08 17:32:06","0","1","0.9"
"115","P7ODG8VHUU","2023-08-08 17:32:06","0","1","0.9"
"116","E8YAYRGNLN","2023-08-08 17:32:06","0","1","0.99"
"117","PUJALQ8XMP","2023-08-08 17:32:06","0","1","0.98"
"118","HY3BXHLPHD","2023-08-08 17:32:06","0","1","0.9"
"119","5PKKHCN1EJ","2023-08-08 17:32:06","0","1","0.92"
"120","01IVOOVO1X","2023-08-08 17:32:06","0","1","0.98"
"121","RU2QCXYQ3S","2023-08-08 17:32:06","0","1","0.99"
"122","6WEIQ9EN1M","2023-08-08 17:32:06","0","1","0.9"
"123","VC4CMXPCY0","2023-08-08 17:32:06","0","1","0.94"
"124","Z7RKVI0ZSP","2023-08-08 17:32:06","0","1","0.93"
"125","5F9V8BO5DM","2023-08-08 17:32:06","0","1","0.93"
"126","YV61OLGJKU","2023-08-08 17:32:06","0","1","0.9"
"127","7B4LZ8N15M","2023-08-08 17:32:06","0","1","0.98"
"128","KVGCCMBYOJ","2023-08-08 17:32:06","0","1","0.95"
"129","UZFWWIK6HD","2023-08-08 17:32:06","0","1","0.98"
"130","MOTA123ELECTRO","2023-08-08 17:32:06","0","1","0.9"
"132","Y4IJ0U37DD","2023-08-08 17:32:06","0","1","0.98"
"134","@Ziad!@#^%#_HappyClient","2023-09-30 11:47:27","0","1","0.95"
"136","Marina_92_19756745231","2023-09-16 12:47:34","0","1","0.92"
"137","@Mina_Prep_13975446","2023-09-16 13:16:26","0","1","0.92"
"138","@Messaouda_Special","2023-09-16 20:40:51","0","1","0.955"
"139","@Mohamed_Badawy_special","2023-09-17 22:38:40","1","1","0.92"
"140","KntCR3fgN3","2023-09-16 20:35:35","0","1","0.92"
"141","pW512wDwrk","2023-09-16 20:27:25","0","100","0.7"
"142","mo.alaa92","2023-09-23 20:39:58","1","1","0.92"
"143","Alalfy_special_92","2023-10-09 20:11:55","1","1","0.92"
"144","ahmed.osama92","2023-10-16 20:11:21","0","1","0.92"
"145","lojainspecial92","2023-10-12 20:13:38","0","1","0.92"
"146","spcialmerna92","2023-10-12 20:15:44","0","1","0.92"
