"user_id","status","submitted","preparation","pending","hold","inreview","shortlisted","postponed","accepted"
"587","pending","2023-09-14","2023-09-14","2023-09-14",NULL,NULL,NULL,NULL,NULL
"645","pending","2023-09-10","2023-09-20","2023-09-20",NULL,NULL,NULL,NULL,NULL
"922","shortlisted","2023-09-13","2023-09-13","2023-09-13",NULL,"2023-09-14","2023-10-04",NULL,NULL
"986","pending","2023-09-19","2023-09-19","2023-09-19",NULL,NULL,NULL,NULL,NULL
"1188","pending","2023-09-21","2023-09-21","2023-09-21",NULL,NULL,NULL,NULL,NULL
"1190","pending","2023-09-15","2023-09-15","2023-09-15",NULL,NULL,NULL,NULL,NULL
"1424","pending","2023-09-10",NULL,"2023-09-10",NULL,NULL,NULL,NULL,NULL
"1468","shortlisted","2023-09-07",NULL,"2023-09-07",NULL,"2023-09-14","2023-10-04",NULL,NULL
"1528","shortlisted","2023-09-10",NULL,"2023-09-10",NULL,"2023-09-13","2023-10-04",NULL,NULL
"1679","submitted","2023-09-06",NULL,NULL,"2023-09-06",NULL,NULL,NULL,NULL
"1861","pending","2023-09-12","2023-09-12","2023-09-12",NULL,NULL,NULL,NULL,NULL
"2021","pending","2023-09-15","2023-09-15","2023-09-15",NULL,NULL,NULL,NULL,NULL
"594","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"632","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"654","shortlisted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"659","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"712","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"733","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"801","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"807","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"905","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1040","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1160",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1252","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1291","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1305","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1330","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1348","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1351","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1486","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1583","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1634","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1753","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1757","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1761","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1767","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1972","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2008","pending",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2083","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2173","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2209","submitted",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
